Date Reported,Holder,pctHeld,Shares,Value,pctChange,Ticker
2025-12-31,Blackrock Inc.,0.078600004,1154665731,340395443403,0.0073,AAPL
2026-03-31,Vanguard Capital Management LLC,0.064899996,953847648,281194274986,1.0,AAPL
2025-12-31,State Street Corporation,0.041100003,604056505,178075850300,0.011,AAPL
2025-12-31,"Geode Capital Management, LLC",0.024400001,358032517,105547981641,0.0052,AAPL
2026-03-31,Vanguard Portfolio Management LLC,0.0226,331437055,97707639768,1.0,AAPL
2025-12-31,Blackrock Inc.,0.0683,734375864,195211797547,0.0167,AMZN
2026-03-31,Vanguard Capital Management LLC,0.0587,631176205,167779263435,1.0,AMZN
2025-12-31,State Street Corporation,0.0361,388653121,103311775470,0.0183,AMZN
2025-12-31,"FMR, LLC",0.0308,331470804,88111571547,0.007900001,AMZN
2025-12-31,"Geode Capital Management, LLC",0.0209,225120994,59841664273,0.0111,AMZN
2025-12-31,Blackrock Inc.,0.0759,441987843,171203993683,0.031600002,GOOGL
2026-03-31,Vanguard Capital Management LLC,0.064899996,378261579,146519624934,1.0,GOOGL
2025-12-31,"FMR, LLC",0.0398,231778122,89779256971,0.007900001,GOOGL
2025-12-31,State Street Corporation,0.0392,228296955,88430826912,0.0087,GOOGL
2025-12-31,"Geode Capital Management, LLC",0.0251,146193037,56627873774,0.0186,GOOGL
2025-12-31,Blackrock Inc.,0.078099996,171505090,103417569270,0.0239,META
2026-03-31,Vanguard Capital Management LLC,0.0647,142138157,85709308671,1.0,META
2025-12-31,"FMR, LLC",0.0557,122341612,73771992036,-0.0589,META
2025-12-31,State Street Corporation,0.0414,90841345,54777331035,0.0509,META
2025-12-31,"Geode Capital Management, LLC",0.024,52806712,31842447336,0.016900001,META
2025-12-31,Blackrock Inc.,0.081,601897495,245435734923,0.017,MSFT
2026-03-31,Vanguard Capital Management LLC,0.065,482558086,196772705426,1.0,MSFT
2025-12-31,State Street Corporation,0.041199997,306150608,124839030060,0.021300001,MSFT
2025-12-31,"FMR, LLC",0.0271,200948745,81940867540,-0.045300003,MSFT
2025-12-31,"Geode Capital Management, LLC",0.024600001,182618400,74466302961,0.0106,MSFT
2025-12-31,Blackrock Inc.,0.08,1943812884,429155006156,0.0075,NVDA
2026-03-31,Vanguard Capital Management LLC,0.0633,1538550382,339681151459,1.0,NVDA
2025-12-31,State Street Corporation,0.040799998,991480489,218899061151,0.0117,NVDA
2025-12-31,"FMR, LLC",0.04,971063283,214391350435,-0.0117999995,NVDA
2025-12-31,"Geode Capital Management, LLC",0.0242,588803093,129995946153,0.0058,NVDA
2025-12-31,Blackrock Inc.,0.0558,209563808,90835435135,0.0137,TSLA
2026-03-31,Vanguard Capital Management LLC,0.048699997,182850783,79256674123,1.0,TSLA
2025-12-31,State Street Corporation,0.0306,114842934,49778671144,0.0095,TSLA
2025-12-31,"Geode Capital Management, LLC",0.0175,65700975,28478088415,0.0058,TSLA
2026-03-31,Vanguard Portfolio Management LLC,0.013099999,49252925,21348680942,1.0,TSLA
