date,open,close,high,low,volume,amount,code,return,is_extreme,index_000300_close,index_399006_close,month,cpi,m2
2020-01-02,8.73,8.78,8.85,8.72,2349494,1404442752.0,601398,,False,4152.241,1832.742,2020-01,0.0,8.4
2020-01-03,8.78,8.81,8.84,8.77,1522130,911951568.0,601398,0.0034110323010629008,False,4144.965,1836.012,2020-01,0.0,8.4
2020-01-06,8.77,8.78,8.87,8.76,2265097,1359917424.0,601398,-0.0034110323010629324,False,4129.295,1859.921,2020-01,0.0,8.4
2020-01-07,8.8,8.83,8.86,8.8,1168044,701615824.0,601398,0.005678606968843514,False,4160.227,1893.214,2020-01,0.0,8.4
2020-01-08,8.77,8.72,8.78,8.71,1585591,940552720.0,601398,-0.012535776694980273,False,4112.317,1862.699,2020-01,0.0,8.4
2020-01-09,8.76,8.72,8.77,8.69,1377134,813806688.0,601398,0.0,False,4164.37,1913.142,2020-01,0.0,8.4
2020-01-10,8.72,8.72,8.74,8.67,978378,576580176.0,601398,0.0,False,4163.185,1904.194,2020-01,0.0,8.4
2020-01-13,8.71,8.74,8.74,8.68,1089910,642791840.0,601398,0.0022909517465557624,False,4203.988,1935.072,2020-01,0.0,8.4
2020-01-14,8.73,8.75,8.77,8.72,1367701,812389856.0,601398,0.0011435107020790205,False,4189.886,1922.557,2020-01,0.0,8.4
2020-01-15,8.74,8.69,8.75,8.68,1288908,759512880.0,601398,-0.0068807610922224285,False,4166.734,1924.238,2020-01,0.0,8.4
2020-01-16,8.68,8.61,8.7,8.6,2690313,1572007904.0,601398,-0.009248620837661247,False,4149.043,1929.961,2020-01,0.0,8.4
2020-01-17,8.62,8.63,8.65,8.61,1039490,605076656.0,601398,0.0023201866556973477,False,4154.853,1932.511,2020-01,0.0,8.4
2020-01-20,8.62,8.65,8.67,8.61,1033400,602786608.0,601398,0.002314815848451318,False,4185.83,1982.176,2020-01,0.0,8.4
2020-01-21,8.63,8.58,8.64,8.57,1432237,828268480.0,601398,-0.008125407443917092,False,4114.309,1967.027,2020-01,0.0,8.4
2020-01-22,8.57,8.6,8.6,8.51,1283708,738870048.0,601398,0.002328289759591168,False,4131.931,1993.899,2020-01,0.0,8.4
2020-01-23,8.57,8.52,8.59,8.5,2000377,1146238544.0,601398,-0.009345862418237658,False,4003.901,1927.742,2020-01,0.0,8.4
2020-02-03,8.08,8.21,8.38,8.08,4680399,2524272176.0,601398,-0.03706341737688731,False,3688.358,1795.774,2020-02,1.4,8.8
2020-02-04,8.18,8.29,8.32,8.15,4013853,2178867248.0,601398,0.009697045682866553,False,3785.638,1882.691,2020-02,1.4,8.8
2020-02-05,8.28,8.28,8.31,8.21,2508538,1374458720.0,601398,-0.0012070007500352277,False,3828.527,1939.62,2020-02,1.4,8.8
2020-02-06,8.29,8.29,8.32,8.23,2809954,1538957664.0,601398,0.0012070007500352875,False,3899.775,2012.249,2020-02,1.4,8.8
2020-02-07,8.26,8.23,8.26,8.19,2373190,1288428160.0,601398,-0.007263954458225057,False,3899.869,2015.799,2020-02,1.4,8.8
2020-02-10,8.2,8.21,8.22,8.17,1902386,1027646560.0,601398,-0.002433091224641555,False,3916.005,2042.177,2020-02,1.4,8.8
2020-02-11,8.22,8.25,8.26,8.2,1984985,1081002720.0,601398,0.004860276882252663,False,3952.464,2028.444,2020-02,1.4,8.8
2020-02-12,8.25,8.25,8.26,8.21,2039144,1109148704.0,601398,0.0,False,3984.433,2085.278,2020-02,1.4,8.8
2020-02-13,8.24,8.2,8.24,8.19,1995658,1082005696.0,601398,-0.006079046076382226,False,3959.919,2064.596,2020-02,1.4,8.8
2020-02-14,8.19,8.22,8.23,8.18,1415764,767126656.0,601398,0.0024360547978813426,False,3987.734,2069.219,2020-02,1.4,8.8
2020-02-17,8.21,8.28,8.28,8.2,2141949,1169117312.0,601398,0.007272759329079657,False,4077.424,2146.177,2020-02,1.4,8.8
2020-02-18,8.26,8.25,8.27,8.23,1845424,1007061200.0,601398,-0.0036297680505786127,False,4057.511,2170.949,2020-02,1.4,8.8
2020-02-19,8.24,8.27,8.29,8.24,2040524,1115986864.0,601398,0.0024213086890103454,False,4051.311,2139.437,2020-02,1.4,8.8
2020-02-20,8.27,8.3,8.31,8.23,2836681,1552477584.0,601398,0.003621005766952362,False,4144.656,2186.737,2020-02,1.4,8.8
2020-02-21,8.28,8.28,8.31,8.26,2237103,1228187056.0,601398,-0.002412546405384101,False,4149.49,2226.639,2020-02,1.4,8.8
2020-02-24,8.27,8.23,8.28,8.22,1933292,1053685888.0,601398,-0.006056953708189796,False,4132.839,2263.972,2020-02,1.4,8.8
2020-02-25,8.19,8.2,8.21,8.18,2301333,1243466240.0,601398,-0.0036518604187711842,False,4123.854,2287.312,2020-02,1.4,8.8
2020-02-26,8.17,8.2,8.23,8.15,2579688,1393315552.0,601398,0.0,False,4073.015,2180.701,2020-02,1.4,8.8
2020-02-27,8.19,8.19,8.21,8.18,2225556,1202215360.0,601398,-0.0012202564052293744,False,4084.876,2196.714,2020-02,1.4,8.8
2020-02-28,8.16,8.08,8.17,8.06,4229372,2256218768.0,601398,-0.013522025331973997,False,3940.049,2071.566,2020-02,1.4,8.8
2020-03-02,8.08,8.15,8.15,8.07,2399023,1279829488.0,601398,0.008626054719767448,False,4069.666,2135.415,2020-03,0.8,10.1
2020-03-03,8.16,8.17,8.19,8.14,2554032,1374004544.0,601398,0.0024509816191401607,False,4091.362,2173.346,2020-03,0.8,10.1
2020-03-04,8.16,8.18,8.18,8.15,1342816,721906816.0,601398,0.0012232417427442321,False,4115.052,2169.443,2020-03,0.8,10.1
2020-03-05,8.19,8.25,8.25,8.17,3305398,1794965696.0,601398,0.00852104973193405,False,4206.725,2209.588,2020-03,0.8,10.1
2020-03-06,8.21,8.2,8.22,8.18,1959499,1059304464.0,601398,-0.006079046076382226,False,4138.507,2192.936,2020-03,0.8,10.1
2020-03-09,8.13,8.1,8.14,8.08,2880620,1532677424.0,601398,-0.01227009259181436,False,3997.133,2093.063,2020-03,0.8,10.1
2020-03-10,8.07,8.15,8.16,8.07,2508208,1336201312.0,601398,0.006153865574378286,False,4082.732,2148.81,2020-03,0.8,10.1
2020-03-11,8.14,8.11,8.16,8.11,1694070,904475648.0,601398,-0.00492005912544987,False,4028.429,2101.463,2020-03,0.8,10.1
2020-03-12,8.08,8.07,8.11,8.05,2462965,1303003584.0,601398,-0.004944385845463967,False,3950.911,2045.926,2020-03,0.8,10.1
2020-03-13,7.94,8.0,8.05,7.91,2997241,1553653696.0,601398,-0.008711940602021568,False,3895.313,2030.58,2020-03,0.8,10.1
2020-03-16,8.0,7.95,8.07,7.92,3044663,1586443696.0,601398,-0.006269613013595374,False,3727.84,1910.767,2020-03,0.8,10.1
2020-03-17,7.94,7.95,8.01,7.9,2577129,1329255600.0,601398,0.0,False,3709.682,1917.702,2020-03,0.8,10.1
2020-03-18,7.96,7.89,7.98,7.89,2025068,1045181424.0,601398,-0.007575793808457768,False,3636.257,1887.042,2020-03,0.8,10.1
2020-03-19,7.89,7.76,7.9,7.7,2898850,1452206736.0,601398,-0.016613800662655446,False,3589.093,1894.943,2020-03,0.8,10.1
2020-03-20,7.79,7.85,7.89,7.77,2125136,1073508064.0,601398,0.01153119759918964,False,3653.224,1915.046,2020-03,0.8,10.1
2020-03-23,7.77,7.76,7.8,7.75,1399893,699169088.0,601398,-0.011531197599189679,False,3530.306,1827.052,2020-03,0.8,10.1
2020-03-24,7.79,7.9,7.9,7.79,2303316,1166514208.0,601398,0.017880425277848583,False,3625.115,1876.91,2020-03,0.8,10.1
2020-03-25,7.95,7.96,7.96,7.88,2321786,1195478384.0,601398,0.0075662403833158766,False,3722.518,1937.855,2020-03,0.8,10.1
2020-03-26,7.91,7.96,8.0,7.89,1556128,805142976.0,601398,0.0,False,3698.047,1927.275,2020-03,0.8,10.1
2020-03-27,7.99,7.99,8.03,7.96,1727365,901046976.0,601398,0.003761759921891586,False,3710.061,1903.881,2020-03,0.8,10.1
2020-03-30,7.96,8.0,8.02,7.93,1953885,1016609264.0,601398,0.0012507819016526766,False,3674.111,1860.484,2020-03,0.8,10.1
2020-03-31,8.0,7.93,8.02,7.9,1761032,912323376.0,601398,-0.008788506033079348,False,3686.155,1871.917,2020-03,0.8,10.1
2020-04-01,7.93,7.94,7.97,7.91,1018584,525623744.0,601398,0.0012602396122877732,False,3675.076,1864.8,2020-04,-1.2,11.1
2020-04-02,7.92,7.97,7.97,7.89,1228856,632366528.0,601398,0.003771217543079324,False,3734.531,1916.951,2020-04,-1.2,11.1
2020-04-03,7.94,7.92,7.96,7.9,1096046,564119680.0,601398,-0.006293286975789179,False,3713.218,1906.675,2020-04,-1.2,11.1
2020-04-07,7.96,7.94,7.97,7.91,1703016,878022928.0,601398,0.002522069432709939,False,3798.021,1969.782,2020-04,-1.2,11.1
2020-04-08,7.92,7.92,7.93,7.9,1034743,531023696.0,601398,-0.0025220694327099465,False,3780.345,1964.757,2020-04,-1.2,11.1
2020-04-09,7.92,7.91,7.93,7.9,735821,377790160.0,601398,-0.0012634240467719062,False,3792.811,1997.136,2020-04,-1.2,11.1
2020-04-10,7.91,7.89,7.92,7.88,978069,500477712.0,601398,-0.0025316469217797305,False,3769.178,1949.885,2020-04,-1.2,11.1
2020-04-13,7.88,7.88,7.91,7.87,855087,436405776.0,601398,-0.0012682309879950536,False,3753.257,1923.081,2020-04,-1.2,11.1
2020-04-14,7.89,7.9,7.91,7.88,883218,451932576.0,601398,0.0025348556031881157,False,3825.699,1985.426,2020-04,-1.2,11.1
2020-04-15,7.89,7.91,7.91,7.88,946035,484407184.0,601398,0.0012650223065867022,False,3797.362,1977.515,2020-04,-1.2,11.1
2020-04-16,7.89,7.9,7.91,7.88,700632,358394224.0,601398,-0.0012650223065866339,False,3802.381,2008.388,2020-04,-1.2,11.1
2020-04-17,7.91,7.93,7.95,7.89,1382449,710819552.0,601398,0.003790276173780827,False,3839.487,2020.77,2020-04,-1.2,11.1
2020-04-20,7.92,7.9,7.93,7.9,1038087,532094032.0,601398,-0.0037902761737806908,False,3853.455,2043.437,2020-04,-1.2,11.1
2020-04-21,7.89,7.85,7.9,7.84,1176049,598287920.0,601398,-0.006349227678658892,False,3808.047,2023.942,2020-04,-1.2,11.1
2020-04-22,7.84,7.87,7.88,7.82,876584,445105984.0,601398,0.0025445306349947947,False,3839.383,2043.171,2020-04,-1.2,11.1
2020-04-23,7.87,7.84,7.87,7.82,1033422,523778032.0,601398,-0.003819228066995384,False,3829.753,2029.524,2020-04,-1.2,11.1
2020-04-24,7.83,7.82,7.84,7.81,687952,347600176.0,601398,-0.0025542798050967423,False,3796.972,2003.748,2020-04,-1.2,11.1
2020-04-27,7.82,7.87,7.89,7.82,1172997,596976656.0,601398,0.006373507872092201,False,3822.769,2018.666,2020-04,-1.2,11.1
2020-04-28,7.87,7.89,7.9,7.81,1505136,766309872.0,601398,0.002538072428470871,False,3849.147,2030.724,2020-04,-1.2,11.1
2020-04-29,7.88,7.93,7.93,7.85,1210796,621183008.0,601398,0.0050569007889737115,False,3867.032,2030.477,2020-04,-1.2,11.1
2020-04-30,7.93,7.95,7.96,7.92,1040639,537925248.0,601398,0.0025188930194839864,False,3912.577,2069.432,2020-04,-1.2,11.1
